Wall time,Step,Value
1694436827.6703982,14367,2.5088999271392822
1694436833.2105477,14399,1.969438910484314
1694436833.3905447,14400,1.4353137016296387
1694436834.2450337,14405,1.3844465017318726
1694436836.6719887,14419,1.9848967790603638
1694436838.0638492,14427,1.547187089920044
1694436838.2323275,14428,2.249725103378296
1694436850.1333904,14494,1.5173557996749878
1694436850.4821985,14496,1.7498185634613037
1694436858.1095464,14535,1.7991383075714111
1694436865.4617746,14577,2.1229093074798584
1694436873.713727,14623,1.7330594062805176
1694436877.4894662,14645,2.047011375427246
1694436895.6579459,14745,1.9656774997711182
1694436898.2819858,14760,0.9837142825126648
1694436901.2369518,14777,1.4229369163513184
1694436902.6283243,14785,2.266990900039673
1694436935.027105,14819,2.0310416221618652
1694436940.587256,14851,1.3921234607696533
1694436942.830143,14864,1.7342826128005981
1694436943.5044332,14868,1.7039361000061035
1694436952.888,14921,1.7074249982833862
1694436953.5740912,14925,1.9126113653182983
1694436956.1402748,14940,1.4335927963256836
1694436970.0450845,15019,1.677016258239746
1694436978.1459863,15065,2.064174175262451
1694436978.317375,15066,1.971487045288086
1694436979.0115173,15070,1.910444974899292
1694436986.156788,15110,2.1843321323394775
1694436988.5185323,15124,1.6830607652664185
1694436990.9163704,15138,1.9771761894226074
1694436993.50679,15153,2.513145923614502
1694436997.449307,15176,1.4478117227554321
1694436998.9974797,15185,1.867297887802124
1694437001.4394753,15199,2.138432264328003
1694437022.2677372,15318,1.956648826599121
1694437025.0742166,15334,1.7976332902908325
1694437027.502442,15348,1.966477870941162
1694437029.9203322,15362,2.2407705783843994
1694437031.5048,15371,2.133495807647705
1694437036.6478326,15400,1.5944271087646484
1694437039.9246716,15419,1.956591248512268
1694437042.9476478,15435,1.6837513446807861
1694437043.9877856,15441,2.077852487564087
1694437046.5814638,15456,1.7358641624450684
1694437047.6078992,15462,1.4461801052093506
1694437052.4340224,15490,1.759682059288025
1694437052.779441,15492,1.19157075881958
1694437073.6602364,15610,1.1519155502319336
1694437077.6620576,15633,1.5659269094467163
1694437078.5124676,15638,1.877787709236145
1694437083.9939976,15668,1.3078662157058716
1694437092.3676262,15712,1.1583408117294312
1694437094.4954975,15722,1.4789979457855225
1694437099.2152672,15749,1.6880733966827393
1694437101.4206316,15760,2.0399739742279053
1694437107.110875,15793,1.6638908386230469
1694437108.4975688,15801,1.577581524848938
1694437111.770331,15820,1.648006796836853
1694437113.661077,15831,2.073671579360962
1694437121.1204982,15873,2.4269111156463623
1694437129.618146,15921,1.9308462142944336
1694437129.784929,15922,1.7053167819976807
1694437149.0544877,16032,2.0316379070281982
1694437156.8459127,16076,1.8667762279510498
1694437161.9419682,16105,2.306128978729248
1694437164.0376341,16117,1.7463194131851196
